building_id,raw_noise_day_dba,raw_noise_night_dba,raw_daylight_klx,raw_view_sky_sr,raw_view_greenery_sr,raw_poi_count,noise_lden,noise_lnight,daylight,view_sky,view_greenery,location_poi,dwelling_id,fli_score,linguistic_label,num_activated_rules
2507,47.2322042644526,30.5253512737147,1.4681789338962852,0.0353353498810969,0.0116778861812607,20.0,47.2322042644526,30.5253512737147,1.4681789338962852,0.0353353498810969,0.0116778861812607,1.3222192947339193,1858,60.00000000000005,good,1
2508,44.680700514723895,28.807154286702897,2.1139452535010457,0.0364694030448641,0.0082765488453352,20.0,44.680700514723895,28.807154286702897,2.1139452535010457,0.0364694030448641,0.0082765488453352,1.3222192947339193,1859,59.99999999999998,good,2
2509,44.45911351986152,32.01124484254144,2.0336835325716662,0.0347842633819685,0.0065263820499527,21.0,44.45911351986152,32.01124484254144,2.0336835325716662,0.0347842633819685,0.0065263820499527,1.3424226808222062,1860,59.999999999999986,good,1
2510,44.210882880052424,31.891096101624164,1.8458526244309688,0.0391875861005111,0.0088284165275955,23.0,44.210882880052424,31.891096101624164,1.8458526244309688,0.0391875861005111,0.0088284165275955,1.380211241711606,1861,59.99999999999998,good,1
2513,62.5859174925257,45.703467206521694,0.8944882088435648,0.0230552692337228,0.0013583220070061,66.0,62.5859174925257,45.703467206521694,0.8944882088435648,0.0230552692337228,0.0013583220070061,1.8260748027008264,1862,28.41855024926412,fair,5
2516,61.1280223507147,43.5107879612045,0.6682781436745497,0.0168648272907897,0.0006195870991366,62.0,61.1280223507147,43.5107879612045,0.6682781436745497,0.0168648272907897,0.0006195870991366,1.7993405494535817,1863,27.083762232112267,fair,6
2517,60.355538952345,42.88620840197099,0.7632275010926424,0.0193652928163073,0.0006846196048626,56.0,60.355538952345,42.88620840197099,0.7632275010926424,0.0193652928163073,0.0006846196048626,1.7558748556724917,1864,25.408609132888415,fair,6
2518,59.3298065555037,41.884383739771,0.679357924911538,0.0175865028558305,0.0005955650062873,54.0,59.3298065555037,41.884383739771,0.679357924911538,0.0175865028558305,0.0005955650062873,1.740362689494244,1865,22.129172461000884,poor,4
2519,58.7628870911757,41.4384467767768,0.7776223145006892,0.020075376053243,0.0007290496167241,55.0,58.7628870911757,41.4384467767768,0.7776223145006892,0.020075376053243,0.0007290496167241,1.7481880270062005,1866,24.386934180116103,poor,3
2520,58.8786508193408,41.7703920233013,0.6529864732382147,0.0167247415898777,0.0010066048831842,52.0,58.8786508193408,41.7703920233013,0.6529864732382147,0.0167247415898777,0.0010066048831842,1.724275869600789,1867,21.55071506827012,poor,4
2521,59.5783511098326,42.36397912114461,0.6958402753616001,0.0182192429683507,0.0015437027289649,45.0,59.5783511098326,42.36397912114461,0.6958402753616001,0.0182192429683507,0.0015437027289649,1.662757831681574,1868,23.458304842035837,poor,4
2526,48.295999486850704,38.7544342916997,1.6085977015100663,0.0247021214922679,0.0117073730819391,278.0,48.295999486850704,38.7544342916997,1.6085977015100663,0.0247021214922679,0.0117073730819391,2.4456042032735974,1869,50.0,good,0
2527,54.725247211746705,44.1236799094774,2.173718193706519,0.0299461886876173,0.0096721842448715,258.0,54.725247211746705,44.1236799094774,2.173718193706519,0.0299461886876173,0.0096721842448715,2.413299764081252,1870,42.17356395170078,fair,2
