building_id,raw_noise_day_dba,raw_noise_night_dba,raw_daylight_klx,raw_view_sky_sr,raw_view_greenery_sr,raw_poi_count,noise_lden,noise_lnight,daylight,view_sky,view_greenery,location_poi
1789,50.59183477800539,45.063990998081,2.2205039720844204,0.044078966107363594,0.007610798910208176,81.0,50.59183477800539,45.063990998081,1000.0,3.4772465795496292,0.5901341611606732,59.22987504653981
1790,51.5900680513129,45.59062062397119,2.2244081913887164,0.0435273484526324,0.01136608393539673,81.0,51.5900680513129,45.59062062397119,1000.0,3.433731253022658,0.8813154161648561,59.22987504653981
1791,64.0040771480241,52.7789323707793,1.2813285882011853,0.029951363032074216,0.014942288617187851,79.0,64.0040771480241,52.7789323707793,1000.0,2.362765823555259,1.1586109504348516,58.89798633835666
1792,63.6373796763268,52.5294115802292,1.1354713844841005,0.02709441498550556,0.004879912718595904,79.0,63.6373796763268,52.5294115802292,1000.0,2.1373904642810704,0.3783838244449325,58.89798633835666
1793,49.3477206840937,38.3329644974583,1.5818976397788336,0.03500562752147535,0.0047409830261412,79.0,49.3477206840937,38.3329644974583,1000.0,2.7614803456949533,0.36761134727343614,58.89798633835666
1794,50.5787883098067,40.7036371571471,1.6689498907914737,0.03523911404394263,0.010876340583155876,92.0,50.5787883098067,40.7036371571471,1000.0,2.7798993396804916,0.8433411790619648,60.921807483456924
1795,64.7853258316029,53.63700456360769,1.4716800243864947,0.03486313451816827,0.0086298585893335,78.0,64.7853258316029,53.63700456360769,1000.0,2.750239535119849,0.6691510864543725,58.728917319763646
1796,53.0083691212957,41.5580495390589,1.886973152934941,0.029529337276880802,0.006834403289920605,79.0,53.0083691212957,41.5580495390589,1000.0,2.3294735813970884,0.5299331778588172,58.89798633835666
1797,65.4185782437627,54.1491887457077,1.4737501712126109,0.03509547934914804,0.013499520818108015,81.0,65.4185782437627,54.1491887457077,1000.0,2.7685684647692557,1.046740097597364,59.22987504653981
1798,54.09396786036281,42.9772431424795,0.5398114721918962,0.016834547612644926,0.015388151772897166,79.0,54.09396786036281,42.9772431424795,539.8114721918962,1.328022825257599,1.1931827585316406,58.89798633835666
1799,52.0925183973461,42.5051263952625,1.4969995587831475,0.031178808217664944,0.008954156257738774,105.0,52.0925183973461,42.5051263952625,1000.0,2.4595949906183905,0.6942968214512618,62.68039766837523
1800,47.4313481459323,36.4193167092444,1.517812830195872,0.029839915493075818,0.0068856352966489625,85.0,47.4313481459323,36.4193167092444,1000.0,2.3539740889025564,0.5339056592857887,59.87003459201013
1801,48.96695452475241,36.9235383993848,1.337396174026046,0.027580276912252795,0.007436072266945664,89.0,48.96695452475241,36.9235383993848,1000.0,2.1757185348351795,0.5765860222240576,60.48108571299023
1802,46.023953091707,34.3233731945723,1.4162980102654141,0.029583274372646143,0.0045345708252107625,89.0,46.023953091707,34.3233731945723,1000.0,2.333728503831159,0.3516063401136713,60.48108571299023
1803,69.6366906270079,60.3517336180559,1.4058936305996532,0.020504799190352415,0.01309831630118267,972.0,69.6366906270079,60.3517336180559,1000.0,1.6175570605566882,1.0156310781839033,92.47793349056097
1804,65.1544474604503,57.3320000897446,0.43655148551714384,0.007432844871453865,0.0014159005650897407,,65.1544474604503,57.3320000897446,436.5514855171438,0.5863530088848498,0.10978759288271646,
1805,65.7026861769705,59.7653746783423,1.6409587592608352,0.029557958217470672,0.0003499473793363609,,65.7026861769705,59.7653746783423,1000.0,2.331731394512015,0.027134589363285447,
1806,61.56150682440091,48.4263086911438,1.5078795892998245,0.032056732800707706,0.017991505803913586,209.0,61.56150682440091,48.4263086911438,1000.0,2.5288516117027493,1.3950443719343404,71.8694550603432
1807,66.3291132425743,53.328490189527,1.641609102578253,0.03542638438612404,0.016527731889110532,206.0,66.3291132425743,53.328490189527,1000.0,2.794672489196188,1.2815447247182576,71.67605877763371
1808,63.0842872083346,50.5504542050791,2.154170474664237,0.04955846704622088,0.018920362190520814,220.0,63.0842872083346,50.5504542050791,1000.0,3.9095066250976918,1.4670670190987491,72.55567789808308
1809,54.8609004402129,41.8753856372929,2.2360946775126096,0.05240436434246484,0.019832417194834733,148.0,54.8609004402129,41.8753856372929,1000.0,4.0,1.5377869029444868,67.25709032286147
1810,63.22790791381961,50.2192649728069,2.1605560059795894,0.048621574481005875,0.020795929596338105,345.0,63.22790791381961,50.2192649728069,1000.0,3.8355982112781777,1.612496744780729,78.58087132028928
1811,49.98581239413238,43.10805059224022,2.7941347754306514,0.04391148019253002,0.01155015871946828,155.0,49.98581239413238,43.10805059224022,1000.0,3.464034159297774,0.8955884011130191,67.87415388400225
1812,48.367225692855946,41.4518989056182,2.205102148222779,0.03738730387886769,0.012035287901850301,141.0,48.367225692855946,41.4518989056182,1000.0,2.9493630638867767,0.9332048598418895,66.61032866030953
1813,45.81844080650802,39.28405834149573,2.168845958545315,0.03764560386494048,0.012984307552854601,130.0,45.81844080650802,39.28405834149573,1000.0,2.969739511484972,1.0067909474889087,65.52659973963482
1815,56.3275572193384,49.0867079419573,2.3663687565374674,0.04897231065485361,0.021313860842660005,185.0,56.3275572193384,49.0867079419573,1000.0,3.863266649731697,1.6526566445748383,70.23826686963507
1816,54.446416945266606,47.25898339564519,2.551719519107896,0.05572853210062637,0.009264791014465973,138.0,54.446416945266606,47.25898339564519,1000.0,4.0,0.7183831471775503,66.32332537662401
1817,58.99670973155722,45.50203090517173,0.4153939298479369,0.009509321018195717,0.020016420209571978,546.0,58.99670973155722,45.50203090517173,415.3939298479369,0.7501594729744939,1.5520543229662345,84.73689696401244
1818,61.5589166356325,42.9810780716938,1.2441597092962682,0.023780018762695407,0.023504664148293136,409.0,61.5589166356325,42.9810780716938,1000.0,1.8759285030143897,1.8225294642736674,80.86202384018391
1819,61.4622300527266,43.0729209733311,1.4683062556901068,0.02763237177867316,0.024774818963706556,398.0,61.4622300527266,43.0729209733311,1000.0,2.1798281297751125,1.921016069343842,80.49649103494684
1820,61.7893711779688,43.3865751869,1.3770980528688874,0.020943421737919365,0.033141895592783376,393.0,61.7893711779688,43.3865751869,1000.0,1.6521585698009291,2.0,80.32699560148868
1821,62.36378798074411,44.1215854370965,1.6657413686681515,0.027286856868629354,0.03767962722466817,377.0,62.36378798074411,44.1215854370965,1000.0,2.152571579877666,2.0,79.76978379986711
1822,64.5307317902952,46.6848296848478,1.417895234622594,0.027283454369341913,0.03519065597101951,372.0,64.5307317902952,46.6848296848478,1000.0,2.1523031677515654,2.0,79.59080898823547
1823,61.7116610892424,54.5410613945798,2.2812722217363084,0.03226617603735951,0.009639876560553822,176.0,61.7116610892424,54.5410613945798,1000.0,2.545373908901903,0.7474669262545607,69.57164381934672
1824,46.7260038228701,39.7260038228701,2.5183926329652233,0.03498364363206595,0.005233273631975076,184.0,46.7260038228701,39.7260038228701,1000.0,2.759746108007348,0.4057830960147397,70.16580949871523
1825,58.386418917795396,51.0445894081655,1.9144625872191752,0.04339356909797025,0.005968551464381471,743.0,58.386418917795396,51.0445894081655,1000.0,3.423177833909327,0.46279584486889613,88.87118564199135
1826,59.65394698339825,51.99677017753431,2.2103701221157745,0.03653499135827105,0.005835085212620361,225.0,59.65394698339825,51.99677017753431,1000.0,2.8821268952857872,0.45244699773004204,72.85637969598582
1827,58.288268397448036,50.41455400431189,2.229651192513199,0.03619324521380387,0.017966318663497786,225.0,58.288268397448036,50.41455400431189,1000.0,2.8551676510732906,1.393091384848927,72.85637969598582
1828,49.0204427002121,39.7163171715219,0.5986742639284756,0.009415737484925506,0.0008862391732072638,1403.0,49.0204427002121,39.7163171715219,598.6742639284755,0.742776971756716,0.06871814867778338,97.40663141717023
1829,58.80524693015282,52.52087888067504,1.6136346078515567,0.029639891535891038,0.006922249118503893,286.0,58.80524693015282,52.52087888067504,1000.0,2.3381948480906316,0.5367446604605884,76.06802377429865
1830,53.0108044510517,43.13260661759371,0.12954791651506667,0.0007081750526360081,0.010244430119087544,847.0,53.0108044510517,43.13260661759371,129.54791651506667,0.055865631546416106,0.7943434383462773,90.62977582690965
1831,70.0000807199189,63.0277951085825,1.285728973299658,0.020269430733248536,0.00023832439400092338,920.0,70.0000807199189,63.0277951085825,1000.0,1.5989896068554181,0.01847944847803287,91.73970983822706
1832,56.8315409909135,48.9343825891971,1.6732330651140603,0.026689737047480736,0.010952040259964605,102.0,56.8315409909135,48.9343825891971,1000.0,2.1054667351176284,0.8492108605238853,62.29451059716119
1833,56.74778379884471,48.7926254255158,0.4892454756270504,0.009764088357416236,0.0050445900541753255,92.0,56.74778379884471,48.7926254255158,489.2454756270504,0.7702572415275889,0.3911527495526487,60.921807483456924
1834,64.99355738097066,52.18712862083342,1.2546179714196666,0.023934531736298573,0.020857015246778347,367.0,64.99355738097066,52.18712862083342,1000.0,1.8881175300357813,1.6172332684370243,79.40941878917829
1835,48.439483814869,35.0271496879341,0.6342771511504318,0.008438045093486883,0.013257954015058204,364.0,48.439483814869,35.0271496879341,634.2771511504318,0.6656499920607535,1.0280092357832569,79.29939790401781
1836,55.022860885139494,47.2690323184057,2.5650590914141236,0.03678137942856154,0.006973188401872796,278.0,55.022860885139494,47.2690323184057,1000.0,2.901563650507601,0.5406944443946659,75.68804625004091
1837,55.03425733312531,48.060301119435906,2.0781555705596317,0.03701892608276607,0.009997263880351659,353.0,55.03425733312531,48.060301119435906,1000.0,2.920302935108883,0.7751784015762215,78.88810320552487
1838,63.0175124291317,52.2556714299394,2.48274820255776,0.03640934184829104,0.01182070394298222,247.0,63.0175124291317,52.2556714299394,1000.0,2.872214813234319,0.9165662222876504,74.10494687540735
